time/time_elapsed,time/iterations,time/total_timesteps,time/fps,train/n_updates,train/approx_kl,train/clip_fraction,train/loss,train/learning_rate,train/value_loss,train/entropy_loss,train/policy_gradient_loss,train/clip_range,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean
1248,3817,7817216,6261,19080,0.0002519817,0.0,0.5642187595367432,2e-05,5.32555855512619,-1.7275132566690445,-0.0005968002195004373,0.2,0.7175250053405762,-79.0647217,1725.01
1248,3818,7819264,6261,19085,4.671715e-05,0.0,1.482551097869873,2e-05,10.081459176540374,-1.744610607624054,9.92283457890153e-06,0.2,0.25800883769989014,-77.50104868000001,1716.57
1249,3819,7821312,6261,19090,0.00015397399,0.0,0.6266168355941772,2e-05,5.3847752690315245,-1.7468173891305923,-0.0001970892190001905,0.2,0.7967073917388916,-78.67154178000001,1713.25
1249,3820,7823360,6261,19095,0.00035247832,0.0,1.1493059396743774,2e-05,8.061790454387666,-1.7334511876106262,-0.00036864186404272914,0.2,0.5382528305053711,-78.48909030000002,1689.5
1249,3821,7825408,6261,19100,0.005899151,0.018359375,0.16877412796020508,2e-05,2.273236095905304,-1.7384576469659805,-0.004835225082933903,0.2,0.923828661441803,-78.23059985,1700.39
1250,3822,7827456,6261,19105,0.000113250746,0.0,1.9101057052612305,2e-05,12.461102294921876,-1.7386956870555879,-0.00035454134922474623,0.2,0.5478997230529785,-78.89247251000002,1695.16
1250,3823,7829504,6261,19110,6.133554e-05,0.0,0.5877032279968262,2e-05,6.270861947536469,-1.7201857388019561,-0.0003500709601212293,0.2,0.7254475355148315,-77.94251853,1695.1
1250,3824,7831552,6261,19115,6.7241606e-05,0.0,1.296991229057312,2e-05,9.189260876178741,-1.7387879818677903,-0.00022904900833964348,0.2,0.7929455041885376,-77.80231124999999,1700.88
1251,3825,7833600,6261,19120,0.0005255042,0.0,0.5629353523254395,2e-05,6.260842609405517,-1.758868184685707,-0.00062798983999528,0.2,0.6042368412017822,-77.57225896000001,1698.51
1251,3826,7835648,6261,19125,8.939119e-05,0.0,0.5323964357376099,2e-05,5.793090140819549,-1.7490856140851974,-0.0004833436338230968,0.2,0.7981500625610352,-77.99369928,1699.57
1251,3827,7837696,6261,19130,0.0007066064,0.0,0.29434478282928467,2e-05,3.7001356720924377,-1.7487700492143632,-0.0014471077505731956,0.2,0.8709972500801086,-78.45626998,1676.15
1252,3828,7839744,6261,19135,0.0003272004,0.0,0.8873010873794556,2e-05,6.221585524082184,-1.7557326316833497,-0.0007807132205925882,0.2,0.7000124454498291,-78.35527831,1676.52
1252,3829,7841792,6261,19140,0.0029166033,0.00380859375,0.10853159427642822,2e-05,3.1422024726867677,-1.7252720504999162,-0.0028040176723152397,0.2,0.8748922944068909,-79.07330201000002,1647.33
1252,3830,7843840,6261,19145,0.0013719606,0.0001953125,-0.08219131827354431,2e-05,2.149588406085968,-1.7393297165632249,-0.0016629776044283062,0.2,0.9484878778457642,-79.07330201000002,1647.33
1253,3831,7845888,6261,19150,0.008064394,0.03134765625,0.608068585395813,2e-05,5.798736143112182,-1.7683622241020203,-0.0063934838282875715,0.2,-0.18748462200164795,-79.87585667,1665.71
1253,3832,7847936,6261,19155,0.00030199628,0.0,0.8098899126052856,2e-05,8.647600090503692,-1.7462864905595779,-0.00014785830862820148,0.2,0.8471267819404602,-79.52517891,1668.57
1253,3833,7849984,6261,19160,0.00082108856,0.0,0.23257392644882202,2e-05,4.641472947597504,-1.7531419783830642,-0.0011449674726463853,0.2,0.8163361549377441,-79.71785291,1673.3
1254,3834,7852032,6261,19165,0.00032845206,0.0,0.8687105178833008,2e-05,7.132814991474151,-1.7333583563566208,-0.0003103071328951046,0.2,0.7695404291152954,-79.64150246999999,1679.88
1254,3835,7854080,6261,19170,0.0038515234,0.00595703125,0.46053552627563477,2e-05,4.125612354278564,-1.737074676156044,-0.001020353997591883,0.2,0.8776171207427979,-79.73900416000001,1686.24
1254,3836,7856128,6261,19175,0.00049242924,0.0,0.3031492531299591,2e-05,4.2576324343681335,-1.7377286583185196,-0.0004977347794920206,0.2,0.8153200149536133,-79.73900416000001,1686.24
1255,3837,7858176,6261,19180,0.008756394,0.0259765625,0.2566275894641876,2e-05,3.9195671141147614,-1.7694121599197388,-0.0036129979300312696,0.2,-0.19800925254821777,-79.32461757,1704.31
1255,3838,7860224,6261,19185,0.00024986066,0.0,0.3350699543952942,2e-05,5.444667792320251,-1.7513006955385209,-0.000445076814503409,0.2,0.832126259803772,-80.00191223,1723.2
1255,3839,7862272,6261,19190,0.0043528676,0.011328125,0.12130635976791382,2e-05,3.2338293731212615,-1.7286069244146347,-0.0018968264921568334,0.2,0.9260256290435791,-80.1899561,1716.28
1255,3840,7864320,6261,19195,9.38797e-05,0.0,0.3123851716518402,2e-05,4.415153294801712,-1.7424540966749191,-0.00041196806123480203,0.2,0.7749859690666199,-80.1899561,1716.28
1256,3841,7866368,6261,19200,6.359271e-05,0.0,1.6754581928253174,2e-05,13.942958855628968,-1.7775514841079711,-0.0002301191649166867,0.2,-0.6370443105697632,-80.1899561,1716.28
1256,3842,7868416,6261,19205,0.0017288694,0.0,0.6705881357192993,2e-05,4.963052117824555,-1.777586543560028,-0.002391205553431064,0.2,-0.018378138542175293,-80.1899561,1716.28
1256,3843,7870464,6261,19210,0.00047113822,0.0,0.7986286878585815,2e-05,7.027322828769684,-1.7745718628168106,-0.0007120834896340966,0.2,0.18489879369735718,-80.1899561,1716.28
1257,3844,7872512,6261,19215,0.00015451192,0.0,0.8518154621124268,2e-05,7.453689563274383,-1.7753844916820527,-0.0005635573877952992,0.2,0.03045499324798584,-80.12353355999998,1804.69
1257,3845,7874560,6261,19220,0.0001801585,0.0,1.915988564491272,2e-05,10.8068097114563,-1.763544324040413,-0.0004694447270594537,0.2,0.6554050445556641,-80.62868031999999,1805.33
1257,3846,7876608,6261,19225,0.000124018,0.0,1.3400121927261353,2e-05,8.898620927333832,-1.7502501487731934,-0.00039491700008511545,0.2,0.6463168263435364,-78.71627292999999,1785.72
1258,3847,7878656,6261,19230,0.0005593065,0.0,0.5429764986038208,2e-05,6.298189890384674,-1.751671040058136,-0.0012847979902289807,0.2,0.7905430793762207,-77.64150864,1787.28
1258,3848,7880704,6261,19235,0.00087847654,0.0,0.410347580909729,2e-05,4.410370337963104,-1.7205387949943542,-0.0008392440271563828,0.2,0.8800560832023621,-77.93450766,1797.4
1258,3849,7882752,6261,19240,0.0013097534,0.0,0.2468290627002716,2e-05,2.5937152773141863,-1.7549462109804153,-0.0015003493055701256,0.2,0.9528704285621643,-79.73986719,1805.92
1259,3850,7884800,6261,19245,0.001155053,0.0,0.8731582164764404,2e-05,8.229963099956512,-1.7512337952852248,-0.0014428218943066894,0.2,0.7752658128738403,-80.3979886,1800.32
1259,3851,7886848,6261,19250,0.0029294011,0.0005859375,0.23578885197639465,2e-05,3.777800405025482,-1.7444595962762832,-0.0029632504389155655,0.2,0.8385533094406128,-80.3979886,1800.32
1259,3852,7888896,6261,19255,0.0018170606,0.0,1.6745245456695557,2e-05,12.039247918128968,-1.7602614641189576,-0.002661798195913434,0.2,0.2707046866416931,-79.6035661,1823.44
1260,3853,7890944,6261,19260,0.004146257,0.0,0.6328856945037842,2e-05,5.111766219139099,-1.7590942889451981,-0.0036015275283716617,0.2,0.8496395349502563,-79.26310328,1808.01
1260,3854,7892992,6261,19265,0.0006178221,0.0,1.104227066040039,2e-05,8.591262853145599,-1.7302338421344756,-0.0007037123141344637,0.2,0.6618965864181519,-79.26310328,1808.01
1260,3855,7895040,6261,19270,0.008196423,0.074609375,1.5398143529891968,2e-05,9.094243347644806,-1.7673008769750596,-0.011773720139171929,0.2,0.036659419536590576,-77.27046871,1817.05
1261,3856,7897088,6261,19275,7.574822e-05,0.0,0.7119894027709961,2e-05,6.855957520008087,-1.7595029443502426,-0.00024319806252606213,0.2,0.6510787010192871,-76.94835666,1791.95
1261,3857,7899136,6261,19280,0.0008162814,0.0,0.13219842314720154,2e-05,3.620632231235504,-1.7479592472314835,-0.0009812358708586543,0.2,0.8350059390068054,-76.94835666,1791.95
1261,3858,7901184,6261,19285,0.009780133,0.10244140625,0.8119921088218689,2e-05,5.885081219673157,-1.7694427609443664,-0.010304042446659879,0.2,-8.130073547363281e-05,-76.26231729,1779.62
